ACA.PA-shares,ACA.PA-total,AI.PA-shares,AI.PA-total,AIR.PA-shares,AIR.PA-total,BN.PA-shares,BN.PA-total,BNP.PA-shares,BNP.PA-total,CS.PA-shares,CS.PA-total,DG.PA-shares,DG.PA-total,DSY.PA-shares,DSY.PA-total,EL.PA-shares,EL.PA-total,KER.PA-shares,KER.PA-total,MC.PA-shares,MC.PA-total,OR.PA-shares,OR.PA-total,RI.PA-shares,RI.PA-total,RMS.PA-shares,RMS.PA-total,SAF.PA-shares,SAF.PA-total,SAN.PA-shares,SAN.PA-total,STLAM.MI-shares,STLAM.MI-total,STMPA.PA-shares,STMPA.PA-total,SU.PA-shares,SU.PA-total,TTE.PA-shares,TTE.PA-total,cashflow,host-timestamp,last-news,market-timestamp,nbr-news-displayed,news-mode,request 1,request 10,request 2,request 3,request 4,request 5,request 6,request 7,request 8,request 9,selected-company,selected-graph,selected-news
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777978610.696049,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777978611.192213,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777978670.692429,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777978671.182198,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777979970.42201,Market Update,2026-05-05 02:00:00+02:00,12,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986235.135232,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986245.440898,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986277.834283,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986291.260577,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986291.398776,Market Update,2026-05-05 02:00:00+02:00,12,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986294.327846,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986305.251299,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986351.223406,Market Update,2026-05-05 02:00:00+02:00,12,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986354.26779,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986365.229519,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986411.273855,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986411.335859,Market Update,2026-05-05 02:00:00+02:00,12,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986414.227865,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986425.221148,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986471.222361,Market Update,2026-05-05 02:00:00+02:00,12,news-table,,,,,,,,,,,SAN.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986474.293846,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986485.229157,La Garde côtière japonaise commande trois nouveaux A320 d'Airbus pour renforcer sa flotte.,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1777986531.205715,Market opens higher,2026-05-05 02:00:00+02:00,3,news-table,,,,,,,,,,,MC.PA,tab-market,
